"key","English","Chinese","Spanish","French","Japanese","Russian"
"The Germans are exhasted and overextended in Stalingrad. Flank around the weak Romanian and Hungarian armies and encirlcle the 6th Army!","","德军被困在了斯大林格勒。突破薄弱的罗马尼亚和匈牙利部队，对第六集团军形成包围。","Los alemanes están agotados y sobrecargados en Stalingrado. ¡Flanquea a los débiles ejércitos rumanos y húngaros y encierra al 6º ejército!","Les Allemands sont exaspérés et surchargés à Stalingrad. Contournez les faibles armées roumaines et hongroises et encercle la 6e armée!","ドイツ人はスターリングラードで興奮し、過度に拡張されています。弱いルーマニア軍とハンガリー軍の側面に立ち、第6軍を包囲します！","Немцы в Сталинграде истощены и растянуты. Обойдите слабые румынские и венгерские армии и окружите 6-ю армию!"
"The city of Rzhev has stalled our forces for over a year. With victories in the south, it is now time to push the Germans back!","","莫德尔在热勒夫拖了我们的部队一整年。随着南方的胜利，现在是时候在这里也将德军击退了！","La ciudad de Rzhev ha estancado nuestras fuerzas durante más de un año. Con victorias en el sur, ¡es hora de hacer retroceder a los alemanes!","La ville de Rzhev a bloqué nos forces pendant plus d'un an. Avec des victoires dans le sud, il est maintenant temps de repousser les Allemands!","ルジェフ市は1年以上の間私たちの軍隊を失速させてきました。南での勝利で、今こそドイツ人を押し戻す時です！","Город Ржев остановил наши силы больше года. С победами на юге пора отбросить немцев!"
"Comrade Stalin orders Army Group Center to be destroyed. Use our superior forces to crush the German units!","","摧毁中央集团军群。解放白俄罗斯和乌克兰！","El camarada Stalin ordena la destrucción del Grupo de Ejércitos Centro. ¡Usa nuestras fuerzas superiores para aplastar a las unidades alemanas!","Le camarade Staline ordonne la destruction du centre du groupe d'armées. Utilisez nos forces supérieures pour écraser les unités allemandes!","スターリン同志は、中央軍集団センターを破壊するよう命じました。私たちの優れた部隊を使ってドイツ軍ユニットを粉砕してください！","Товарищ Сталин приказывает уничтожить группу армий «Центр». Используйте наши превосходящие силы, чтобы сокрушить немецкие части!"
"We must take Berlin before the Americans. Let us celebrate our victory in the reichstag!","","我们必须赶在美国人之前到达柏林。我希望能在帝国大厦庆祝胜利！","Debemos tomar Berlín antes que los estadounidenses. ¡Celebremos nuestra victoria en el reichstag!","Nous devons prendre Berlin avant les Américains. Célébrons notre victoire au Reichstag!","私たちはアメリカ人の前にベルリンをとらなければなりません。国会議事堂での勝利を祝いましょう！","Мы должны взять Берлин раньше американцев. Празднуем победу в рейхстаге!"
"The Americans have already dropped an atomic bomb on Hiroshima. We must take over Manchuria before Japan surrenders!","","美国人已经在广岛投下了原子弹。在日本投降之前，我们必须接管满洲！","Los estadounidenses ya lanzaron una bomba atómica sobre Hiroshima. ¡Debemos tomar el control de Manchuria antes de que los japoneses se rindan!","Les Américains ont déjà largué une bombe atomique sur Hiroshima. Nous devons prendre le contrôle de la Mandchourie avant que les Japonais ne se rendent!","アメリカ人はすでに広島に原爆を投下しました。日本人が降伏する前に満州を乗っ取らなければなりません！","Американцы уже сбросили атомную бомбу на Хиросиму. Мы должны захватить Маньчжурию, прежде чем японцы сдадутся!"
"-------- new 06/12/2022 -------","","","","","",""
"Sensitivity","","灵敏度","Sensibilidad","Sensibilité","感度","Чувствительность"
"Menu music by Lucas Kneipp","","主题音乐: Lucas Kneipp","Música de Lucas Kneipp","Musique de Lucas Kneipp","Lukas Kneipp による音楽","Музыка Лукаса Кнайпа"
"CommieChina","","共产中国","China comunista","Chine communiste","共産党中国","Коммунистический Китай"
"Allied Missions","","盟军关卡","Misiones aliadas","Missions alliées","連合軍のミッション","Союзные миссии"
"Axis Missions","","轴心国关卡","Misiones del Eje","Missions de l'Axe","アクシスミッション","Миссии Оси"
"Retreat at Dunkirk","","敦刻尔克大撤退","Retiro en Dunkerque","Retraite à Dunkerque","ダンケルクでの撤退","Отступление в Дюнкерке"
"Hundred-Regiments Offensive","","百团大战","Ofensiva de los Cien Regimientos","Offensive des cent régiments","百団大戦","Наступление сотен полков"
"Operation Crusader","","十字军行动","Operación Cruzado","Opération Croisé","クルセーダー作戦","Операция Крестоносец"
"Operation Husky","","哈士奇行动","operación husky","Opération Husky","ハスキー作戦","Операция Хаски"
"Operation Overlord","","霸王行动","Operación Overlord","Opération Overlord","オーヴァーロード作戦","Операция Оверлорд"
"Battle of Okinawa","","冲绳战役","Batalla de Okinawa","Bataille d'Okinawa","沖縄戦","Битва за Окинаву"
"Operation Downfall","","末日行动","Operación Caída","Opération Chute","ダウンフォール作戦","Операция Падение"
"Operation Z","","偷袭珍珠港","Ataque a Pearl Harbour","Attaque sur Pearl Harbor","真珠湾攻撃","Атака на Перл-Харбор"
"Australia Campaign","","澳大利亚行动","Operación Australia","Opération Australie","オーストラリア作戦","Операция Австралия"
"Operation Ichigo","","一号行动","Operación número uno","Opération numéro un","オペレーションナンバーワン","Операция номер один"
"Operation Sealion","","海狮行动","Operación León Marino","Opération Sealion","アシカ作戦","Операция Морской лев"
"Italy was unable to defeat the Greeks by themselves. Help them conquer the Balkans before the invasion of Russia.","","意大利自己无法击败希腊人。帮助他们在入侵俄罗斯之前征服巴尔干半岛。","Italia no pudo derrotar a los griegos por sí mismos. Ayúdalos a conquistar los Balcanes antes de la invasión de Rusia.","L'Italie n'a pas pu vaincre les Grecs par eux-mêmes. Aidez-les à conquérir les Balkans avant l'invasion de la Russie.","イタリアは自分たちでギリシャ人を打ち負かすことができませんでした。彼らがロシアの侵略の前にバルカン半島を征服するのを手伝ってください。","Италия не смогла победить греков в одиночку. Помогите им завоевать Балканы до вторжения России."
"Encircle the entire Soviet army by attacking around Smolensk. Enemy morale is low and attacking from behind will weaken their forces.","","通过攻击斯摩棱斯克周围包围整个苏军。敌人士气低落，从背后攻击会削弱他们的力量。","Rodea a todo el ejército soviético atacando alrededor de Smolensk. La moral del enemigo está baja y atacar por la espalda debilitará sus fuerzas.","Encerclez toute l'armée soviétique en attaquant autour de Smolensk. Le moral de l'ennemi est bas et attaquer par derrière affaiblira ses forces.","スモレンスク周辺を攻撃してソビエト軍全体を取り囲みます。敵の士気は低く、背後から攻撃すると力が弱まります。","Окружить всю советскую армию атакой под Смоленском. Боевой дух противника низкий, и атака сзади ослабит его силы."
"Soviet army encircled","","苏军包围","Ejército soviético rodeado","L'armée soviétique encerclée","ソビエト軍が取り囲んだ","Советская армия в окружении"
"The soviet army has been encircled in Smolensk, where mass desertions and disorder has erupted among the fleeing armies.","","苏军在斯摩棱斯克被包围，逃亡的军队中爆发了大规模的逃兵和混乱。","El ejército soviético ha sido rodeado en Smolensk, donde han estallado deserciones masivas y desorden entre los ejércitos que huyen.","L'armée soviétique a été encerclée à Smolensk, où des désertions massives et des désordres ont éclaté parmi les armées en fuite.","ソビエト軍はスモレンスクに囲まれ、逃亡中の軍隊の間で大量の脱走と混乱が勃発しました。","Советская армия попала в окружение в Смоленске, где вспыхнули массовые дезертирства и беспорядки среди бегущих армий."
"Front line collapsing","","前线崩溃","Colapso de la línea del frente","Effondrement de la première ligne","最前線の崩壊","Линия фронта рушится"
"The Soviet lines are being overrun by the advancing German armies, causing low morale.","","苏军的防线被前进中的德军攻破，士气低落。","Las líneas soviéticas están siendo invadidas por los ejércitos alemanes que avanzan, lo que provoca una baja moral.","Les lignes soviétiques sont envahies par l'avancée des armées allemandes, provoquant une baisse de moral.","ソビエトの戦線は前進するドイツ軍に侵略されており、士気が低下している。","Советские позиции захвачены наступающими немецкими армиями, что снижает боевой дух."
"Kanoehe Airbase","","卡诺赫空军基地","Base aérea de Kanoehe","Base aérienne de Kanoehe","カネオヘ空軍基地","Авиабаза Каноэхе"
"Hicham Airbase","","希查姆空军基地","Base aérea de Hicham","Base aérienne de Hicham","ヒチャム空軍基地","Авиабаза Хичам"
"Wheeler Airbase","","惠勒空军基地","Base aérea de Wheeler","Base aérienne de Wheeler","ウィーラー空軍基地","Авиабаза Уиллер"
"We have declared war on the United States. It is time to destroy their navy and dominate the Pacific Ocean! Destroy all the ships at Pearl Harbor.","","我们已经向美国宣战。是时候摧毁他们的海军并称霸太平洋了！摧毁珍珠港的所有船只。","Hemos declarado la guerra a los Estados Unidos. ¡Es hora de destruir su armada y dominar el Océano Pacífico! Destruye todos los barcos en Pearl Harbor.","Nous avons déclaré la guerre aux États-Unis. Il est temps de détruire leur marine et de dominer l'océan Pacifique ! Détruisez tous les navires à Pearl Harbor.","私たちは米国に対して戦争を宣言しました。彼らの海軍を破壊し、太平洋を支配する時が来ました！真珠湾ですべての船を破壊します。","Мы объявили войну Соединенным Штатам. Пришло время уничтожить их флот и доминировать в Тихом океане! Уничтожьте все корабли в Перл-Харборе."
"Chaos","","混乱","Caos","le chaos","混沌","Хаос"
"Ill prepared for war, the US navy is severely weakened due to disorganization.","","备战不力，美国海军因组织混乱而严重削弱。","Mal preparada para la guerra, la Marina de los EE. UU. está gravemente debilitada debido a la desorganización.","Mal préparée à la guerre, la marine américaine est gravement affaiblie par la désorganisation.","戦争の準備ができていないので、アメリカ海軍は混乱のためにひどく弱体化しています。","Плохо подготовленный к войне флот США сильно ослаблен из-за дезорганизации."
"Attack Australia and seize the country's rich resources. Expand the Great East Asia Co-prosperity Sphere!","","进攻澳大利亚，夺取该国丰富的资源。扩大大东亚共荣圈！","Ataca Australia y aprovecha los ricos recursos del país. ¡Expande la Gran Esfera de Co-prosperidad de Asia Oriental!","Attaquez l'Australie et emparez-vous des riches ressources du pays. Développez la sphère de coprospérité de la Grande Asie de l'Est !","オーストラリアを攻撃し、国の豊富な資源を手に入れましょう。大東亜共栄圏を拡大しよう！","Нападайте на Австралию и захватите богатые ресурсы страны. Расширьте Сферу совместного процветания Великой Восточной Азии!"
"Rastatt","","拉施塔特","Rastatt","Rastatt","ラシュタット","Раштатт"
"Metz","","梅斯","Metz","Metz","メッツ","Мец"
"Strasbourg","","斯特拉斯堡","Estrasburgo","Strasbourg","ストラスブール","Страсбург"
"Nancy","","南希","nancy","Nancy","ナンシー","Нэнси"
"Basel","","巴塞尔","Basilea","Bâle","バーゼル","Базель"
"Freiburg","","弗赖堡","Friburgo","Fribourg","フライブルク","Фрайбург"
"The Western Allies invaded France and pushed us out of the country. Attack the US forces while they are regrouping and regain the initiative!","","西方盟军入侵法国，把我们赶出了这个国家。趁美军重新集结，重夺主动权！","Los aliados occidentales invadieron Francia y nos expulsaron del país. ¡Ataca a las fuerzas estadounidenses mientras se reagrupan y recupera la iniciativa!","Les Alliés occidentaux ont envahi la France et nous ont chassés du pays. Attaquez les forces américaines pendant qu'elles se regroupent et reprenez l'initiative !","西側連合国はフランスを侵略し、私たちを国外に追い出しました。彼らが再編成している間に米軍を攻撃し、主導権を取り戻しましょう！","Западные союзники вторглись во Францию ​​и вытеснили нас из страны. Атакуйте силы США, пока они перегруппировываются, и верните инициативу!"
"Unprepared troops","","毫无准备的部队","Tropas no preparadas","Troupes non préparées","準備の整っていない軍隊","Неподготовленные войска"
"Surprised by the German attack, many US units became disorganized and slow to respond, a situation made worse by infiltrating German commandos.","","对德军的袭击感到惊讶，许多美军部队变得杂乱无章，反应迟缓，渗入德军突击队使情况变得更糟。","Sorprendidas por el ataque alemán, muchas unidades estadounidenses se desorganizaron y tardaron en responder, una situación que empeoró con la infiltración de comandos alemanes.","Surprises par l'attaque allemande, de nombreuses unités américaines sont devenues désorganisées et lentes à réagir, une situation aggravée par l'infiltration des commandos allemands.","ドイツ軍の攻撃に驚いたことに、多くの米軍部隊は混乱し、反応が遅くなり、ドイツ軍の部隊に潜入することで状況はさらに悪化した。","Удивленные немецкой атакой, многие американские подразделения стали дезорганизованными и медленно реагировали, ситуация ухудшилась из-за проникновения немецких коммандос."
"Allied reinforcements","","盟军增援","refuerzos aliados","Renforts alliés","連合軍の援軍","Союзные подкрепления"
"In response to the German threat, allied command moves several additional divisions to Northern France.","","为了应对德国的威胁，盟军指挥部将几个额外的师转移到法国北部。","En respuesta a la amenaza alemana, el comando aliado mueve varias divisiones adicionales al norte de Francia.","En réponse à la menace allemande, le commandement allié déplace plusieurs divisions supplémentaires vers le nord de la France.","ドイツの脅威に応えて、連合軍の指揮官はいくつかの追加の師団を北フランスに移動させます。","В ответ на немецкую угрозу союзное командование перебрасывает в Северную Францию ​​несколько дополнительных дивизий."
"Wuchang","","武昌","Wuchang","Wuchang","武昌","Учан"
"Changsha","","长沙","changsha","Changsha","長沙","Чанша"
"Tianjin","","天津","Tianjín","Tianjin","天津","Тяньцзинь"
"The Americans have been using Chinese airfield to conduct raids on our homeland. Destroy them and establish a supply line to Indochina!","","美国人一直在利用中国机场对我们的家园进行突袭。消灭他们，建立通往印度支那的补给线！","Los estadounidenses han estado utilizando el aeródromo chino para realizar incursiones en nuestra patria. ¡Destrúyelos y establece una línea de suministro a Indochina!","Les Américains ont utilisé l'aérodrome chinois pour mener des raids sur notre patrie. Détruisez-les et établissez une ligne de ravitaillement vers l'Indochine !","アメリカ人は私たちの故郷を襲撃するために中国の飛行場を使用してきました。それらを破壊し、インドシナへの供給ラインを確立してください！","Американцы уже давно используют китайский аэродром для налетов на нашу родину. Уничтожьте их и установите линию снабжения в Индокитай!"
"Bristol","","布里斯托尔","Brístol","Bristol","ブリストル","Бристоль"
"Rochester","","罗切斯特","Rochester","Rochester","ロチェスター","Рочестер"
"Dover","","多佛","Dover","Douvres","ドーバー","Дувр"
"Boulogne","","布洛涅","boloñesa","Boulogne","ブローニュ","Булонь"
"We have beaten the allies back once again, and this time, the plan is to invade Britain and bring the war to an end. The new Heisenberg device can be used to decimate cities.","","我们再次击败了盟友，这一次的计划是入侵英国并结束战争。新的海森堡设备​​可用于摧毁城市。","Hemos derrotado a los aliados una vez más, y esta vez, el plan es invadir Gran Bretaña y poner fin a la guerra. El nuevo dispositivo de Heisenberg se puede utilizar para diezmar ciudades.","Nous avons repoussé les alliés une fois de plus, et cette fois, le plan est d'envahir la Grande-Bretagne et de mettre fin à la guerre. Le nouvel appareil Heisenberg peut être utilisé pour décimer des villes.","再び同盟国を打ち負かしましたが、今回はイギリスを侵略して戦争を終わらせる計画です。新しいハイゼンベルグデバイスは、都市を間引くために使用できます。","Мы снова отбили союзников, и на этот раз план состоит в том, чтобы вторгнуться в Британию и положить конец войне. Новое устройство Гейзенберга можно использовать для уничтожения городов."
"Ramsgate","","拉姆斯盖特","Ramsgate","Ramsgate","ラムズゲート","Рамсгейт"
"Allied troops have been encircled in northern France. Hold the front line at all costs until our troops can be retreated from Dunkirk.","","盟军在法国北部被包围。不惜一切代价守住前线，直到我们的部队从敦刻尔克撤退。","Las tropas aliadas han sido rodeadas en el norte de Francia. Mantén la línea del frente a toda costa hasta que nuestras tropas puedan retirarse de Dunkerque.","Les troupes alliées ont été encerclées dans le nord de la France. Tenez la ligne de front à tout prix jusqu'à ce que nos troupes puissent se retirer de Dunkerque.","連合軍はフランス北部で取り囲まれています。私たちの軍隊がダンケルクから撤退することができるまで、どんな犠牲を払っても最前線を保持してください。","Войска союзников попали в окружение на севере Франции. Удерживать линию фронта любой ценой, пока наши войска не отступят из Дюнкерка."
"Nomanhan","","诺曼汉","Nomanhan","Nomanhan","ノムンハン","Номанхан"
"Japan wants to invade the Far East. Teach them the power of Soviet industry!","","日本想入侵远东。教他们苏联工业的力量！","Japón quiere invadir el Lejano Oriente. ¡Enséñales el poder de la industria soviética!","Le Japon veut envahir l'Extrême-Orient. Apprenez-leur la puissance de l'industrie soviétique !","日本は極東を侵略したいと思っています。彼らにソビエト産業の力を教えてください！","Япония хочет вторгнуться на Дальний Восток. Научите их мощи советской промышленности!"
"Destroy the Finnish army and force them to cede Karelia.","","消灭芬兰军队并迫使他们割让卡累利阿。","Destruye el ejército finlandés y oblígalo a ceder Karelia.","Détruisez l'armée finlandaise et forcez-la à céder la Carélie.","フィンランド軍を破壊し、カレリアを割譲するように強制します。","Уничтожить финскую армию и заставить ее уступить Карелию."
"Stiff Resistance","","刚性阻力","Resistencia rígida","Résistance rigide","堅い抵抗","Жесткое сопротивление"
"Finnish resistance is stronger than expected. General Mannerheim maintains an effective line of defense.","","芬兰人的抵抗力强于预期。曼纳海姆将军保持着有效的防线。","La resistencia finlandesa es más fuerte de lo esperado. El general Mannerheim mantiene una línea de defensa eficaz.","La résistance finlandaise est plus forte que prévu. Le général Mannerheim maintient une ligne de défense efficace.","フィンランドの抵抗は予想よりも強いです。マンネルハイム将軍は効果的な防衛線を維持しています。","Финское сопротивление сильнее, чем ожидалось. Генерал Маннергейм поддерживает эффективную линию обороны."
"Additional Manpower","","额外人力","Mano de obra adicional","Main-d'œuvre supplémentaire","追加のマンパワー","Дополнительная рабочая сила"
"High command has approved additional resources for this campaign.","","高级指挥部已批准此战役的额外资源。","El alto mando ha aprobado recursos adicionales para esta campaña.","Le haut commandement a approuvé des ressources supplémentaires pour cette campagne.","最高司令部は、このキャンペーンの追加リソースを承認しました。","Высшее командование утвердило дополнительные ресурсы для этой кампании."
"Shijiazhuang","","石家庄","Shijiazhuang","Shijiazhuang","石家荘","Шицзячжуан"
"Yangqu","","阳渠","Yangqu","Yangqu","ヤンク","Янцюй"
"Xingko","Xinkou","忻口","Xinkou","Xinkou","忻口","Синко"
"The Japanese rear is lightly defended. Attack key railroad cities and destroy their supplies!","","日军后方防御松懈。攻击主要的铁路城市并摧毁他们的补给线！","La retaguardia japonesa está ligeramente defendida. ¡Ataca ciudades ferroviarias clave y destruye sus suministros!","L'arrière japonais est légèrement défendu. Attaquez les principales villes ferroviaires et détruisez leurs approvisionnements !","日本の後方は軽く防御されています。主要な鉄道都市を攻撃し、それらの物資を破壊してください！","Тыл японцев слабо защищен. Нападайте на ключевые железнодорожные города и уничтожайте их припасы!"
"Bordia","","博迪亚","Bordía","Bordie","ボルディア","Бордия"
"We need to relieve our troops encircled at Tobruk. Rout Rommel's army and drive the Germans out of Africa!","","我们需要解救被托布鲁克包围的部队。击溃隆美尔的军队，将德国人赶出非洲！","Necesitamos relevar a nuestras tropas rodeadas en Tobruk. ¡Arroja al ejército de Rommel y expulsa a los alemanes de África!","Nous devons relever nos troupes encerclées à Tobrouk. Déroutez l'armée de Rommel et chassez les Allemands d'Afrique !","Tobrukに囲まれた軍隊を救済する必要があります。ロンメルの軍隊を敗走させ、ドイツ人をアフリカから追い出します！","Нам нужно освободить наши войска, окруженные в Тобруке. Разгромите армию Роммеля и изгоните немцев из Африки!"
"Low Morale","","士气低落","Baja moral","Moral bas","低士気","Низкая мораль"
"Italians suffer morale issues after the fall of Bordia","","意大利人在博尔迪亚沦陷后遭受士气问题","Los italianos sufren problemas de moral tras la caída de Bordia","Les Italiens souffrent de problèmes de moral après la chute de Bordia","ボルディアの崩壊後、イタリア人は士気の問題に苦しむ","Итальянцы страдают от проблем с моральным духом после падения Бордиа"
"Klin","","克林","Klin","Klin","クリン","Клин"
"Vyazma","","维亚兹马","Vyazma","Viazma","ヴャジマ","Вязьма"
"The Germans are at the gates of Moscow. Push them back and relieve the capital!","","德国人在莫斯科大门口。把他们推回去，解救京城！","Los alemanes están a las puertas de Moscú. ¡Hazlos retroceder y libera a la capital!","Les Allemands sont aux portes de Moscou. Repoussez-les et soulagez la capitale !","ドイツ人はモスクワの門にいます。それらを押し戻して、首都を解放してください！","Немцы у ворот Москвы. Отбросьте их назад и освободите столицу!"
"Reinforcements","","增援","Refuerzos","Renforts","増援","Подкрепления"
"Additional troops from the Far East can be redeployed to the front lines.","","来自远东的更多部队可以重新部署到前线。","Se pueden redistribuir tropas adicionales del Lejano Oriente a las líneas del frente.","Des troupes supplémentaires d'Extrême-Orient peuvent être redéployées sur les lignes de front.","極東からの追加の軍隊は最前線に再配置することができます。","Дополнительные войска с Дальнего Востока могут быть переброшены на передовую."
"Lend Lease","","租借","Préstamo","Prêt-bail","レンドリース","Ленд-лиз"
"Supplies have arrived from the United States","","物资已从美国运抵","Los suministros han llegado de los Estados Unidos.","Les fournitures sont arrivées des États-Unis","アメリカから物資が届きました","Поставки прибыли из США"
"The recapture of Klin has damaged German morale","","克林的重新夺回损害了德国的士气","La reconquista de Klin ha dañado la moral alemana","La reprise de Klin a sapé le moral des Allemands","クリンの奪還はドイツの士気を傷つけた","Взятие Клина подорвало боевой дух немцев."
"Pushkin","","普希金","Pushkin","Pouchkine","プーシキン","Пушкин"
"Leningrad is encircled. Attack the flanks and relieve the city!","","列宁格勒被包围。攻击侧翼并解围城市！","Leningrado está rodeado. ¡Ataca los flancos y libera a la ciudad!","Leningrad est encerclé. Attaquez les flancs et soulagez la ville !","レニングラードは囲まれています。側面を攻撃し、街を解放してください！","Ленинград окружен. Атакуй с флангов и освободи город!"
"Midway","","中途岛","Isla Mitad","À mi-chemin","途中","Мидуэй"
"Japan has assembled four carrier fleets to attack at Midway. Destroy the fleets to turn the tide of war!","","日本已经集结了四艘航母舰队在中途岛发动攻击。摧毁舰队扭转战局！","Japón ha reunido cuatro flotas de portaaviones para atacar en Midway. ¡Destruye las flotas para cambiar el rumbo de la guerra!","Le Japon a rassemblé quatre flottes de porte-avions pour attaquer à Midway. Détruisez les flottes pour inverser le cours de la guerre !","日本はミッドウェーを攻撃するために4隻の空母艦隊を編成しました。艦隊を破壊して戦争の流れを変えましょう！","Япония собрала четыре авианосных флота для атаки на Мидуэй. Уничтожьте флоты, чтобы переломить ход войны!"
"Armory","","军械库","Arsenal","Arsenal","アーマリー","Оружейная палата"
"The southern fronts have amassed eleven armies for a pincer movement around Paulus' 6th Army in Stalingrad. Cut the army's supply routes and annihilate it!","","南部战线已经集结了 11 支军队，以围绕保卢斯在斯大林格勒的第 6 集团军展开夹击式运动。切断军队的补给路线并歼灭它！","Los frentes del sur han acumulado once ejércitos para un movimiento de pinzas alrededor del 6º Ejército de Paulus en Stalingrado. ¡Corta las rutas de suministro del ejército y aniquílalo!","Les fronts sud ont amassé onze armées pour un mouvement en tenaille autour de la 6e armée de Paulus à Stalingrad. Coupez les voies d'approvisionnement de l'armée et anéantissez-la !","南部戦線は、スターリングラードにあるパウルスの第6軍の周りの挟み込み運動のために11の軍隊を集めました。軍の補給ルートを切り、それを全滅させてください！","Южные фронты собрали одиннадцать армий, чтобы сжать в клещи 6-ю армию Паулюса в Сталинграде. Перережьте пути снабжения армии и уничтожьте ее!"
"6th Army Encircled","","第六军被包围","6. ejército rodeado","6e armée encerclée","包囲された第6軍","6-я армия в окружении"
"Paulus' forces weaken due to supply shortages","","保卢斯的力量因供应短缺而减弱","Las fuerzas de Paulus se debilitan debido a la escasez de suministros.","Les forces de Paulus s'affaiblissent en raison de pénuries d'approvisionnement","供給不足によりパウルスの勢力が弱体化","Силы Паулюса ослабевают из-за нехватки снабжения"
"Relief Operation","","救援行动","Operación de socorro","Opération de secours","救援活動","Операция по оказанию помощи"
"Manstein's army has been instructed to help relief Stalingrad","","曼施泰因的军队已奉命帮助救灾斯大林格勒","El ejército de Manstein ha recibido instrucciones para ayudar a socorrer a Stalingrado.","L'armée de Manstein a été chargée d'aider à soulager Stalingrad","マンシュタインの軍隊はスターリングラードの救援を支援するように指示されました","Армия Манштейна получила задание помочь разблокировать Сталинград."
"Floridia","","佛罗里达","Florida","Floride","フロリーディア","Флоридия"
"Palma","","帕尔马","Palma","Palma","パルマ","Пальма"
"Allied objective is to control the Sicilian islands and advance towards Germany from Italy. Overwhelm the German positions and seize the island.","","盟军的目标是控制西西里群岛并从意大利向德国挺进。压倒德军阵地并占领该岛。","El objetivo aliado es controlar las islas sicilianas y avanzar hacia Alemania desde Italia. Abrumar las posiciones alemanas y apoderarse de la isla.","L'objectif allié est de contrôler les îles siciliennes et d'avancer vers l'Allemagne depuis l'Italie. Submergez les positions allemandes et emparez-vous de l'île.","連合国の目的は、シチリア諸島を支配し、イタリアからドイツに向かって前進することです。ドイツの立場を圧倒し、島を占領します。","Цель союзников - контролировать сицилийские острова и продвигаться к Германии из Италии. Сокрушить немецкие позиции и захватить остров."
"Colleville","","科勒维尔","Colléville","Colleville","コルヴィル","Кольвиль"
"Seize the beachheads of Normandy and elimate German forces in northern France. Overwhelm the defense!","","夺取诺曼底的滩头阵地，消灭法国北部的德军。压倒防守！","Toma las cabezas de playa de Normandía y elimina a las fuerzas alemanas en el norte de Francia. ¡Abrumar a la defensa!","Saisissez les têtes de pont de Normandie et éliminez les forces allemandes dans le nord de la France. Écrasez la défense !","ノルマンディーの海岸堡を占領し、フランス北部のドイツ軍を排除します。防御を圧倒する！","Захватите плацдармы в Нормандии и уничтожьте немецкие войска на севере Франции. Сокрушите оборону!"
"Nago","","名护","nagó","Nago","名護","Наго"
"Isado","","伊萨多","Isado","Isado","イサド","Исадо"
"As our troops get closer to the Japanese home islands, defense will become increasingly stubborn. Destroy all fortifications on Okinawa to set up air bases for the invasion of Japan proper.","","随着我们的部队越来越接近日本本土岛屿，防御将变得越来越顽固。摧毁冲绳的所有防御工事，为入侵日本本土建立空军基地。","A medida que nuestras tropas se acerquen a las islas de origen japonesas, la defensa será cada vez más obstinada. Destruye todas las fortificaciones en Okinawa para establecer bases aéreas para la invasión de Japón propiamente dicha.","Au fur et à mesure que nos troupes se rapprochent des îles japonaises, la défense deviendra de plus en plus têtue. Détruisez toutes les fortifications d'Okinawa pour mettre en place des bases aériennes pour l'invasion du Japon proprement dit.","私たちの軍隊が日本列島に近づくにつれて、防衛はますます頑固になるでしょう。沖縄のすべての要塞を破壊して、日本への侵攻のための空軍基地を設置します。","По мере приближения наших войск к японским островам оборона будет становиться все более упорной. Уничтожьте все укрепления на Окинаве, чтобы создать авиабазы ​​для вторжения в Японию."
"Akita","","秋田","Akita","Akita","秋田","Акита"
"Niigata","","新泻","Niigata","Niigata","新潟","Ниигата"
"Nagoya","","名古屋","Nagoya","Nagoya","名古屋","Нагоя"
"Busan","","釜山","Busán","Pusan","釜山","Пусан"
"Hamhung","","咸兴","Hamhung","Hamhung","咸興","Хамхын"
"We are at the doorsteps of Japan. Capture the capital and capitulate Japan into surrender! There are new nuclear weapons that can be used to destroy defenses.","","我们就在日本的门口。夺取首都，让日本投降！新式核武器可以用来摧毁城防。","Estamos a las puertas de Japón. ¡Capture la capital y capitule a Japón para que se rinda! Hay nuevas armas nucleares que se pueden usar para destruir las defensas.","Nous sommes aux portes du Japon. Capturez la capitale et capitulez le Japon pour qu'il se rende ! Il existe de nouvelles armes nucléaires qui peuvent être utilisées pour détruire les défenses.","私たちは日本の玄関口にいます。首都を占領し、日本を降伏させて降伏させよう！防御を破壊するために使用できる新しい核兵器があります。","Мы на пороге Японии. Захватите столицу и капитулируйте Японию! Есть новое ядерное оружие, которое можно использовать для уничтожения обороны."
"We must not let the communists take over Greece! Reinforce the Hellenic army and defeat the rebels.","","我们决不能让共产党接管希腊！加强希腊军队并击败叛军。","¡No debemos permitir que los comunistas se apoderen de Grecia! Refuerza el ejército helénico y derrota a los rebeldes.","Nous ne devons pas laisser les communistes s'emparer de la Grèce ! Renforcez l'armée hellénique et battez les rebelles.","共産主義者にギリシャを乗っ取らせてはいけません！ギリシャ軍を強化し、反乱軍を打ち負かしてください。","Мы не должны позволить коммунистам захватить Грецию! Усильте греческую армию и победите повстанцев."
"North Korea launched a surprise attack on South Korea. Push them back with the coalition!","","朝鲜对韩国发动突然袭击。与联盟一起击退他们！","Corea del Norte lanzó un ataque sorpresa contra Corea del Sur. ¡Hazlos retroceder con la coalición!","La Corée du Nord a lancé une attaque surprise contre la Corée du Sud. Repoussez-les avec la coalition !","北朝鮮は韓国に奇襲攻撃を仕掛けた。連立で彼らを押し戻してください！","Северная Корея неожиданно напала на Южную Корею. Отбросьте их коалицией!"
